roi,model,semitones,median,mean,count
FCz,wav2vec2-large,0.84,-0.914,-0.914,2
FCz,wav2vec2-large,1.07,-0.4,-0.4,2
FCz,wav2vec2-large,1.74,-0.671,-0.671,2
FCz,wav2vec2-large,1.99,-0.898,-0.898,2
FCz,wav2vec2-large,3.16,-0.833,-0.959,20
FCz,wav2vec2-large,7.02,-2.169,-2.072,4
FCz,wav2vec2-large,7.92,0.416,0.416,2
FCz,wav2vec2-large,8.84,0.473,0.473,2
FCz,wav2vec2-large,10.65,-2.688,-3.843,10
FCz,wav2vec2-large,12.0,-2.036,-2.036,2
FCz,wav2vec2-medium,0.84,-0.561,-0.561,2
FCz,wav2vec2-medium,1.07,-0.73,-0.73,2
FCz,wav2vec2-medium,1.74,-0.158,-0.158,2
FCz,wav2vec2-medium,1.99,-0.183,-0.183,2
FCz,wav2vec2-medium,3.16,-1.193,-1.296,20
FCz,wav2vec2-medium,7.02,-0.825,-0.701,4
FCz,wav2vec2-medium,7.92,-0.892,-0.892,2
FCz,wav2vec2-medium,8.84,-0.967,-0.967,2
FCz,wav2vec2-medium,10.65,-0.683,-0.798,10
FCz,wav2vec2-medium,12.0,-1.336,-1.336,2
FCz,whisper-base,0.84,-0.181,-0.181,2
FCz,whisper-base,1.07,-0.073,-0.073,2
FCz,whisper-base,1.74,-0.251,-0.251,2
FCz,whisper-base,1.99,-0.265,-0.265,2
FCz,whisper-base,3.16,-0.548,-0.439,20
FCz,whisper-base,7.02,-0.159,-0.308,4
FCz,whisper-base,7.92,-0.164,-0.164,2
FCz,whisper-base,8.84,0.008,0.008,2
FCz,whisper-base,10.65,-1.255,-1.056,10
FCz,whisper-base,12.0,-1.005,-1.005,2
FCz,whisper-large,0.84,-33.943,-33.943,2
FCz,whisper-large,1.07,0.326,0.326,2
FCz,whisper-large,1.74,-0.109,-0.109,2
FCz,whisper-large,1.99,-0.588,-0.588,2
FCz,whisper-large,3.16,-3.271,-9.383,20
FCz,whisper-large,7.02,0.376,1.056,4
FCz,whisper-large,7.92,-54.833,-54.833,2
FCz,whisper-large,8.84,-55.016,-55.016,2
FCz,whisper-large,10.65,-42.711,-55.353,10
FCz,whisper-large,12.0,-54.011,-54.011,2
FCz,whisper-medium,0.84,-0.878,-0.878,2
FCz,whisper-medium,1.07,-0.924,-0.924,2
FCz,whisper-medium,1.74,-4.111,-4.111,2
FCz,whisper-medium,1.99,-0.891,-0.891,2
FCz,whisper-medium,3.16,-0.8,-1.055,20
FCz,whisper-medium,7.02,-1.034,-1.081,4
FCz,whisper-medium,7.92,-3.982,-3.982,2
FCz,whisper-medium,8.84,-0.876,-0.876,2
FCz,whisper-medium,10.65,-1.299,-0.974,10
FCz,whisper-medium,12.0,-0.091,-0.091,2
FCz,whisper-small,0.84,-0.272,-0.272,2
FCz,whisper-small,1.07,-0.089,-0.089,2
FCz,whisper-small,1.74,-0.296,-0.296,2
FCz,whisper-small,1.99,-0.422,-0.422,2
FCz,whisper-small,3.16,-0.562,-0.453,20
FCz,whisper-small,7.02,-0.222,-0.414,4
FCz,whisper-small,7.92,-0.729,-0.729,2
FCz,whisper-small,8.84,-0.537,-0.537,2
FCz,whisper-small,10.65,-0.703,-0.76,10
FCz,whisper-small,12.0,-0.995,-0.995,2
FCz,whisper-tiny,0.84,-0.291,-0.291,2
FCz,whisper-tiny,1.07,-0.144,-0.144,2
FCz,whisper-tiny,1.74,-0.408,-0.408,2
FCz,whisper-tiny,1.99,-0.641,-0.641,2
FCz,whisper-tiny,3.16,-0.232,-0.355,20
FCz,whisper-tiny,7.02,-0.792,-0.955,4
FCz,whisper-tiny,7.92,-0.905,-0.905,2
FCz,whisper-tiny,8.84,-0.489,-0.489,2
FCz,whisper-tiny,10.65,-1.508,-1.267,10
FCz,whisper-tiny,12.0,-1.84,-1.84,2
